zip_code,latitude,longitude
01118,42.09290,-72.52740
01119,42.12470,-72.51210
01128,42.09440,-72.48890
01129,42.12230,-72.48760
01138,42.17070,-72.60480
01139,42.17070,-72.60480
01144,42.10180,-72.59150
01151,42.15320,-72.50500
01152,42.17070,-72.60480
01199,42.11990,-72.60500
01201,42.45310,-73.24710
01202,42.39290,-73.22850
01203,42.39290,-73.22850
01220,42.62230,-73.11720
01222,42.05960,-73.32020
01223,42.35940,-73.12030
01224,42.51260,-73.19290
01225,42.56110,-73.15800
01226,42.47500,-73.16030
01227,42.47370,-73.16620
01229,42.27930,-73.34350
01230,42.19590,-73.36070
01235,42.42980,-73.07240
01236,42.26530,-73.37450
01237,42.51730,-73.22820
01238,42.29900,-73.23170
01240,42.36420,-73.27130
01242,42.33860,-73.25090
01243,42.35610,-73.01040
01244,42.12280,-73.25400
01245,42.18670,-73.20650
01247,42.69550,-73.08000
01252,42.19860,-73.44620
01253,42.19310,-73.09180
01254,42.37840,-73.36450
01255,42.10940,-73.11630
01256,42.57700,-73.02330
01257,42.10010,-73.36110
01258,42.10120,-73.45660
01259,42.07800,-73.26090
01260,42.27790,-73.27730
01262,42.30100,-73.32230
01263,42.39290,-73.22850
01264,42.22000,-73.19790
01266,42.33480,-73.38250
01267,42.70890,-73.20360
01270,42.51500,-73.04120
01301,42.60130,-72.62360
01302,42.52220,-72.62420
01330,42.52320,-72.81100
01331,42.59590,-72.22670
01337,42.69520,-72.57720
01338,42.57360,-72.82130
01339,42.60800,-72.89010
01340,42.67900,-72.72650
01341,42.51380,-72.70250
01342,42.54060,-72.60720
01343,42.64270,-72.98620
01344,42.60760,-72.42920
01346,42.68530,-72.83910
01347,42.55660,-72.51810
01349,42.58200,-72.49260
01350,42.72150,-72.97620
01351,42.54290,-72.53280
01354,42.64040,-72.49950
01355,42.51460,-72.30620
01360,42.68870,-72.45100
01364,42.61290,-72.29240
01366,42.48980,-72.18930
01367,42.69530,-72.92580
01368,42.67220,-72.19640
01370,42.60220,-72.73910
01373,42.47560,-72.61530
01375,42.45390,-72.56760
01376,42.59540,-72.55570
01378,42.66710,-72.33970
01379,42.56560,-72.40090
01380,42.55340,-72.39270
01420,42.57960,-71.80310
01430,42.64960,-71.92670
01431,42.67450,-71.81740
01432,42.55910,-71.57880
01434,42.53850,-71.61150
01436,42.59360,-72.06460
01438,42.56310,-72.03700
01440,42.57400,-71.98980
01441,42.54590,-71.91060
01450,42.61240,-71.55840
01451,42.49860,-71.57530
01452,42.48650,-72.00120
01453,42.52740,-71.75630
